Margin of Error,,,,,,,,,,
,,,Z-Scores ,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Standard Deviation,0.1,,Confidence Level,Z - Score,,,,,,
,,,80%,1.28,,,,,,
Certainty Level,95%,,90%,1.645,,,,,,
,,,95%,1.96,,,,,,
Z-Score ,1.96,,98%,2.33,,,,,,
,,,99%,2.58,,,,,,
Number of Measurements (n),40,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Standard Error,0.016,,,,,,,,,
,,,,,,,,,,
Margin of Error,0.031,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Standard Error = Standard Deviation of Data Set / Square Root of the # of Measurements,,,Z-Score = # of Standard Deviations that your confidence is from the Mean,,,,,,,
,,,,,,,,,,
Margin of Error = Standard Error * Z-Score,,,,,,,,,,
