Major League Soccer and the Major League Soccer Players Association CBA Agreement 2021-2027,,,,,,,
,,,,,,,
MLS Player Compensation,,,,,,,
Year,Salary Budget,General_Allocation_Money_(GAM),Discretionary_Targeted_Allocated_Money_(TAM),Available_Spend_on_Roster,Maximum_Salary_Budget_Charge,Minimum_salaries_for_senior_roster,Minimum_salaries_for_reserve_roster
2021," $4,900,000.00 "," $1,525,000.00 "," $2,800,000.00 "," $9,225,000.00 "," $612,500.00 "," $81,375.00 "," $81,375.00 "
2022," $4,900,000.00 "," $1,625,000.00 "," $2,800,000.00 "," $9,325,000.00 "," $612,500.00 "," $81,375.00 "," $81,375.00 "
2023," $5,210,000.00 "," $1,900,000.00 "," $2,720,000.00 "," $9,830,000.00 "," $651,250.00 "," $81,375.00 "," $81,375.00 "
2024," $5,470,000.00 "," $2,585,000.00 "," $2,400,000.00 "," $10,455,000.00 "," $683,750.00 "," $125,875.00 "," $97,700.00 "
2025," $5,950,000.00 "," $2,930,000.00 "," $2,225,000.00 "," $11,105,000.00 "," $743,750.00 "," $125,875.00 "," $97,700.00 "
2026," $6,425,000.00 "," $3,280,000.00 "," $2,125,000.00 "," $11,830,000.00 "," $803,125.00 "," $125,875.00 "," $97,700.00 "
2027," $7,068,000.00 "," $3,921,000.00 "," $2,025,000.00 "," $13,013,000.00 "," $883,438.00 "," $125,875.00 "," $97,700.00 "
,,,,,,,
,,,,,,,
source: https://www.mlssoccer.com/post/2021/02/08/major-league-soccer-mlspa-ratify-new-collective-bargaining-agreement-0,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
