Column1,,,,,Column13,,Column14,Column2,Column22,Column3,Column32,Column4,Column42,Column5,Column52,Column6,Column62,Column8,Column82,Column7,Column72,Column9,Column92,Column10,Column102,Column11,Column112,Column12,Column102,,
,,,,,,,,,,,,,,,,,,,,*Look into finding total team crosses in season,,*Total crosses by player in a season,,,*Usage Rate,,,,,,
First Name,Last Name,Position,Age,Current Club,League,Modifier,Clubs Represented,Starts,Score,Minutes,Score,Gls+Ast+PK,Score,YC+(RC*5/90,Score,Pass%,Score,Pass into Final 1/3,Score,Successful Cross Into Box,Score,Tackle % (vs dribbles),Score,Pressure Success %,Score,Tkl+Int+Blk+Clr,Score,Errors,Score,Total Score,Weighted Score
Keegan,Rosenberry,RB,26,Colorado Rapids,MLS,1,Philadelphia Union/Colorado Rapids,33,97.06,2964,97.47,4,60.61,0.09,85.15,81.9,79.28,95,87.4,14.7,147,33,61.11,24.8,38.81,327.3,126.15,0.7,65,85.91,85.91
Graham,Zusi,RB,34,Sporting Kansas City,MLS,1,Sporting Kansas City,29,85.29,2587,78.76,2.7,40.91,0.12,78.71,81.9,79.28,158,145.35,14.3,143,42.7,79.07,30.2,65.67,187.7,56.35,1.7,15,78.85,78.85
Ryan,Hollingshead,LB,29,FC Dallas,MLS,1,FC Dallas,24,70.59,2232,61.14,5.7,86.36,0.07,91.04,82.7,82.88,77.7,71.48,6.7,67,51,94.44,29.3,61.19,224,74.5,0,100,78.24,78.24
Antonee,Robinson,LB,23,Fulham FC,English-Championship,1.05,Wigan Athletic,34,100,3015,100,1.8,27.27,0.15,69.19,83.2,85.14,35.7,32.84,17.9,179,35,64.81,7,-49.75,272,98.5,0,100,73.36,77.03
DeAndre,Yedlin,RB,27,Newcastle United,Premier League,1.1,Newcastle United,16,47.06,1450,22.33,1.9,28.79,0.33,18.21,79.3,67.57,54.2,49.86,17.2,172,40.5,75,27.3,51.24,246.7,85.85,0,100,65.26,71.79
Reggie,Cannon,RB,22,Boavista,MLS,1,FC Dallas,28,82.35,2485,73.7,2.3,34.85,0.19,57.7,84.1,89.19,57.7,53.08,9.7,97,52.3,96.85,25.2,40.8,197.3,61.15,0,100,71.52,71.52
Raymon,Gaddis,RB,30,Philadelphia Union,MLS,1,Philadelphia Union,31,91.18,2738,86.25,1,15.15,0.05,96.92,83.3,85.59,92.7,85.28,5.3,53,46.5,86.11,29.9,64.18,203,64,1,50,70.7,70.7
Nick,Lima,RB,25,San Jose Earthquakes,MLS,1,San Jose Earthquakes,25,73.53,2221,60.6,3.3,50,0.11,80.11,80,70.72,52.3,48.11,10.3,103,49.8,92.22,27,49.75,198,61.5,0.3,85,70.41,70.41
