First Name,Last Name,Pos.,Age,Current Club,Clubs Represented During Data Set,League (During Data Set),League Difficulty Modifier,Starts,Score,Minutes,Score,Goals + Assists + PK Won/90,Score,YC+(RC*5)/90 %,Score,Shots on Target/90,Score,Passing %,Score,Succesful Passes+Crosses into 18/90,Score,Progressive Passes/90,Score,SuccesfulDribble %,Score,Succesful Progressive Carries/90,Score,Pass Reception Success %,Score,Tackle % (Vs. Dribbles),Score,Pressure Success %,Score,(Tkl+Int+Blk+Clr)/90,Score,Total Composite Player Score,League Modifier Weighted Player Rating
Tyler,Adams,CDM,22,RB Leipzig,RB Leipzig/New York Red Bulls,Bundesliga,1.10,12,,1105,,0.14,,8.14,,0.09,,82.28,,0.84,,4.94,,61.78,,4.21,,91.68,,37.15,,33.30,,7.29,,,
Wil,Trapp,CDM,28,Minnesota United,Inter Miami CF/Columbus Crew,MLS,1.00,22,,1894,,0.08,,19.01,,0.09,,86.18,,0.66,,5.78,,74.85,,3.07,,96.30,,37.15,,29.48,,6.04,,,
Kellyn,Acosta,CDM,25,Colorado Rapids,Colorado Rapids/FC Dallas,MLS,1.00,20,,1618,,0.20,,42.64,,0.65,,82.88,,0.52,,3.07,,53.87,,3.40,,87.82,,46.10,,26.17,,4.70,,,
James,Sands,CDM,20,New York City FC,New York City FC,MLS,1.00,15,,1234,,0.02,,24.31,,0.07,,87.97,,0.23,,2.71,,82.88,,2.47,,97.17,,45.23,,35.15,,9.01,,,
Geoff,Cameron,CDM,35,Queens Park Rangers,Queens Park Rangers/Stoke City,English Championship,1.05,27,,2243,,0.05,,28.09,,0.09,,72.42,,0.16,,1.69,,65.20,,1.69,,94.60,,40.60,,27.10,,6.53,,,
Chris,Durkin,CDM,21,Sint-Turidense V.V.,Sint-Turidense V.V.,Belgian First Division,1.05,10,,878,,0.07,,20.49,,0.06,,78.87,,0.41,,2.60,,52.77,,2.46,,94.60,,31.37,,26.37,,4.40,,,
Caleb,Stanko,CDM,27,FC Cincinnati,FC Cincinnati/Freiburg FC,MLS,1.00,8,,748,,0.00,,36.10,,0.04,,86.20,,0.24,,3.23,,74.83,,2.45,,93.53,,46.65,,28.43,,5.33,,,
Perry,Kitchen,CDM,29,Columbus Crew,LA Galaxy,MLS,1.00,16,,1442,,0.00,,27.05,,0.06,,86.43,,0.34,,2.71,,65.03,,1.28,,94.20,,47.85,,26.37,,6.83,,,
Danny,Leyva,CDM,17,Seattle Sounders FC,Seattle Sounders FC/Tacoma Defiance/Seattle Sounders 2,MLS,1.00,6,,541,,0.05,,60.45,,0.02,,87.30,,0.17,,1.17,,62.50,,1.27,,92.22,,46.15,,30.98,,1.48,,,
Edwin,Cerrillo,CDM,20,FC Dallas,FC Dallas,MLS,1.00,4,,378,,0.00,,23.81,,0.00,,76.54,,0.00,,2.05,,71.40,,3.45,,96.10,,44.45,,25.86,,4.10,,,
Dan,Metzger,CDM,27,Memphis 901,Memphis 901/Penn FC,USL,0.90,13,,1042,,0.06,,63.33,,0.22,,,,0.88,,,,,,,,,,,,,,2.76,,,
Weston,McKennie,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,Roldan,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gianluca,Busio,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,Nagbe,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duane,Holmes,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole,Bassett,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keaton,Parks,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson,Hyndman,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfredo,Morales,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian,Lletget,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Yueill,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean,Davis,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,Bradley,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell,Canouse,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marky,Delgado,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,Corona,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassani,Dotson,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny,,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro,Bedoya,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandt,Bronico,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix,Diskerud,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eryk,Williamson,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,Caldwell,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dax,McCarty,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacori,Hayes,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelyn,Rowe,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner,Tessmann,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,Besler,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon,Servania,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servando,Carrasco,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,Cappis,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaimie,Villareal,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collen,Warner,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
