First Name,Last Name,Prefered Side,Age,Current Club,Clubs Represented During Data Set,League (During Data Set),League Difficulty Modifier,Starts,Score,Minutes,Score,Gls+Ast+PK/Season,Score,YC+(RC*5)/90 %,Score,Pass%,Score,Progressive Passes/90,Score,Tackle % (vs dribbles),Score,Pressure Success %,Score,(Tkl+Int+Blk+Clr)/90,Score,Errors Leading to Shot/90,Score,Total Composite Player Score,League Modifier Weighted Player Rating
Cameron,Carter-Vickers,Right,23,AFC Bournemouth,Luton Town/Swansea City/Stoke City/Ipswich Town/Sheffield United,Championship,1.05,27,100.00,2406,100.00,1.00,20.00,12.0,79.72,82.6,53.75,4.30,68.81,35.0,-6.46,58.1,203.09,7.23,29.36,0.30,60.00,70.83,74.37
Tim,Ream,Left,33,Fulham FC,Fulham FC,Championship/Premier League,1.05,39,144.44,3386,169.70,0.17,3.40,2.7,100.00,88.8,92.50,5.50,92.20,37.5,3.04,34.4,56.79,5.78,4.32,0.61,18.67,68.51,71.93
Erik,Palmer-Brown,Right,23,Austria Wien,Austria Wien/NAC Breda/KV Kortrijk,Austiran Bundesliga/Eredivisie/Belgian 1st Division,1.05,17,62.96,1516,36.70,1.83,36.60,18.1,66.45,83.4,58.75,3.18,46.98,59.8,87.83,59.2,209.88,6.17,11.05,0.30,60.00,67.72,71.11
Mauricio,Pineda,Right,23,Chicago Fire,Chicago Fire,MLS,1.00,23,85.19,2017,72.33,5.00,100.00,22.3,57.30,89.1,94.38,2.72,38.01,43.5,25.86,36.2,67.90,7.19,28.67,0.01,98.67,66.83,66.83
Brenden Daniel,Hines-Ike,Right,26,KV Kortrijk,KV Kortrijk/Orebro,Belgian 1st Division/Allsvenskan,1.05,15,55.56,1271,19.27,1.00,20.00,24.1,53.38,75.8,11.25,3.78,58.67,63.0,100.00,64.1,240.12,5.53,0.00,0.21,72.00,63.03,66.18
John Anthony,Brooks,Left,28,VFL Wolfsburg,VFL Woflsburg,Bundesliga,1.10,24,88.89,2103,78.45,2.16,43.20,19.4,63.57,85.2,70.00,3.68,56.73,40.1,12.93,34.7,58.64,10.08,78.58,0.47,37.33,58.83,64.72
Walker,Zimmerman,Right,27,Nashville SC,Nashville SC/LAFC,MLS,1.00,24,88.89,2085,77.17,2.67,53.40,18.2,66.27,85.2,70.00,3.08,45.03,40.2,13.31,36.5,69.75,10.53,86.36,0.22,70.67,64.08,64.08
Miles,Robinson,Right,23,Atlanta United,Atalanta United/ATL 2,MLS,1.00,22,81.48,1923,65.65,0.15,3.00,30.4,39.65,89.2,95.00,3.12,45.81,61.6,94.68,40.7,95.68,9.12,62.00,0.42,44.00,62.69,62.69
Ventura,Alvarado,Right,28,Atletico San Luis,Necaxa,Liga MX,1.05,22,81.48,1938,66.71,1.00,20.00,48.6,-0.02,81.8,48.75,2.97,42.88,38.5,6.84,55.8,188.89,9.42,67.18,0.23,69.33,59.21,62.17
Michael,Orozco,Left,35,Orange County SC,Orange County SC/Lobos BUAP,USL,0.90,18,66.67,1609,43.31,2.00,40.00,26.5,48.15,83.2,57.50,4.37,70.18,50.0,50.57,51.1,159.88,6.80,21.93,0.11,85.33,64.35,57.92
Matt,Hedges,Right,30,FC Dallas,FC Dallas,MLS,1.00,26,96.30,2218,86.63,0.67,13.40,22.1,57.73,87.3,83.13,2.75,38.60,44.9,31.18,31.7,40.12,10.76,90.33,0.49,34.67,57.21,57.21
